"","satfin","income16","new_income_range"
"1","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"3","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"4","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"5","More or less satisfied","$8 000 TO 9 999","0 to 9 999"
"6","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"7","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"8","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"9","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"10","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"11","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"12","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"13","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"14","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"15","Not satisfied at all","$170000 OR OVER","90 000 to 170 000"
"16","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"17","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"18","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"19","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"20","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"21","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"22","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"23","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"24","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"25","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"26","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"27","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"28","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"29","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"30","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"31","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"32","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"33","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"34","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"35","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"36","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"37","Not satisfied at all","$110000 TO $129999","90 000 to 170 000"
"38","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"39","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"40","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"41","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"42","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"43","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"44","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"45","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"46","Pretty well satisfied","$25000 TO 29999","20 000 to 39 999"
"47","Not satisfied at all","$130000 TO $149999","90 000 to 170 000"
"48","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"49","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"50","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"51","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"52","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"53","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"54","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"55","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"56","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"57","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"58","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"59","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"60","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"61","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"62","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"63","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"64","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"65","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"66","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"67","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"68","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"69","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"70","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"71","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"72","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"73","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"74","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"75","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"76","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"77","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"78","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"79","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"80","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"81","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"82","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"83","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"84","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"85","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"86","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"87","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"88","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"89","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"90","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"91","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"92","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"93","Pretty well satisfied","$35000 TO 39999","20 000 to 39 999"
"94","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"95","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"96","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"97","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"98","More or less satisfied","UNDER $1 000","0 to 9 999"
"99","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"100","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"101","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"102","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"103","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"104","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"105","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"106","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"107","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"108","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"109","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"110","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"111","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"112","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"113","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"114","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"115","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"116","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"117","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"118","Not satisfied at all","$110000 TO $129999","90 000 to 170 000"
"119","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"120","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"121","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"122","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"123","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"124","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"125","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"126","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"127","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"128","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"129","Not satisfied at all","$17500 TO 19999","10 000 to 19 999"
"130","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"131","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"132","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"133","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"134","More or less satisfied","$6 000 TO 6 999","0 to 9 999"
"135","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"136","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"137","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"138","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"139","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"140","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"141","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"142","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"143","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"144","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"145","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"146","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"147","Not satisfied at all","$130000 TO $149999","90 000 to 170 000"
"148","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"149","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"150","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"151","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"152","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"153","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"154","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"155","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"156","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"157","Not satisfied at all","UNDER $1 000","0 to 9 999"
"158","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"159","Not satisfied at all","$6 000 TO 6 999","0 to 9 999"
"160","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"161","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"162","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"163","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"164","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"165","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"166","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"167","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"168","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"169","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"170","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"171","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"172","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"173","Not satisfied at all","$17500 TO 19999","10 000 to 19 999"
"174","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"175","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"176","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"177","Not satisfied at all","$4 000 TO 4 999","0 to 9 999"
"178","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"179","Not satisfied at all","$3 000 TO 3 999","0 to 9 999"
"180","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"181","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"182","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"183","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"184","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"185","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"186","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"187","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"188","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"189","Pretty well satisfied","UNDER $1 000","0 to 9 999"
"190","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"191","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"192","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"193","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"194","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"195","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"196","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"197","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"198","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"199","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"200","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"201","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"202","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"203","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"204","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"205","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"206","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"207","Not satisfied at all","$7 000 TO 7 999","0 to 9 999"
"208","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"209","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"210","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"211","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"212","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"213","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"214","More or less satisfied","$8 000 TO 9 999","0 to 9 999"
"215","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"216","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
